City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
9,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
12,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
16,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
18,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
19,Mount Gambier,AU,85.91,scattered clouds,-37.8333,140.7667,The Commodore
27,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
41,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
55,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
58,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
62,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
64,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
65,Mount Gambier,AU,85.91,scattered clouds,-37.8333,140.7667,The Commodore
73,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
87,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
90,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Puerto Ayora,EC,75.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
95,Metro,ID,76.37,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
99,Ternate,ID,82.56,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
102,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
103,Arraial Do Cabo,BR,76.62,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Mackay,AU,81.68,light rain,-21.15,149.2,International Lodge Motel
118,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
120,Neiafu,TO,78.67,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
132,Waingapu,ID,85.33,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
134,Sao Joao Da Barra,BR,77.04,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
138,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
144,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
145,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Scoop Guest House
151,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
152,Harper,LR,78.98,light rain,4.375,-7.7169,Screensaver
157,Kavieng,PG,83.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
164,Dingle,PH,81.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
