City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qostanay,KZ,53.1667,63.5833,14.29,73,0,8.95,clear sky
1,Camacha,PT,33.0833,-16.3333,63.54,82,40,26.46,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,79.57,67,100,13.73,overcast clouds
3,Tomatlan,MX,19.9333,-105.25,68.9,83,87,2.51,overcast clouds
4,Atuona,PF,-9.8,-139.0333,79.09,75,30,21.05,scattered clouds
5,Spokane,US,47.6166,-117.3677,39.61,80,0,5.75,clear sky
6,Klyuchi,RU,52.2667,79.1667,-3.93,92,8,5.79,clear sky
7,Albany,US,42.6001,-73.9662,12.15,68,7,6.73,clear sky
8,Coquimbo,CL,-29.9533,-71.3436,62.33,88,75,6.91,broken clouds
9,Boa Vista,BR,2.8197,-60.6733,84.18,61,75,5.75,broken clouds
10,Narsaq,GL,60.9167,-46.05,1.62,70,100,5.01,overcast clouds
11,Nouakchott,MR,18.0858,-15.9785,66.13,50,0,11.14,clear sky
12,Porto Novo,BJ,6.4965,2.6036,82.22,90,0,3.0,clear sky
13,Kodiak,US,57.79,-152.4072,40.51,81,100,20.71,light rain
14,Gao,ML,16.6362,1.637,59.58,16,0,11.74,clear sky
15,Lazaro Cardenas,MX,17.9583,-102.2,74.8,75,0,6.76,clear sky
16,Vaini,TO,-21.2,-175.2,78.96,89,100,16.11,light rain
17,Saskylakh,RU,71.9167,114.0833,-30.93,100,97,2.93,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,14.97,broken clouds
19,Mount Gambier,AU,-37.8333,140.7667,85.91,25,40,13.8,scattered clouds
20,Edd,ER,13.9297,41.6925,75.83,76,99,15.39,overcast clouds
21,Piney Green,US,34.716,-77.3202,39.13,55,0,8.05,clear sky
22,Upernavik,GL,72.7868,-56.1549,-1.17,97,100,3.38,overcast clouds
23,Hit,IQ,33.6416,42.8251,49.01,62,2,8.43,clear sky
24,Ridgecrest,US,35.6225,-117.6709,56.3,21,92,0.38,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,-0.11,96,100,3.83,overcast clouds
26,Bluff,NZ,-46.6,168.3333,58.8,59,14,11.05,few clouds
27,Avarua,CK,-21.2078,-159.775,82.45,78,20,16.11,few clouds
28,Tazovskiy,RU,67.4667,78.7,-19.8,100,74,5.68,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,55.51,62,40,9.22,scattered clouds
30,Sobolevo,RU,54.4299,31.8996,29.52,94,97,13.2,overcast clouds
31,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
32,Anadyr,RU,64.75,177.4833,-7.1,77,0,6.71,clear sky
33,Neuquen,AR,-38.9516,-68.0591,71.49,49,0,3.44,clear sky
34,Dunedin,NZ,-45.8742,170.5036,57.79,61,88,8.01,overcast clouds
35,Homer,US,59.6425,-151.5483,37.29,78,100,3.44,overcast clouds
36,Olafsvik,IS,64.8945,-23.7142,30.45,72,100,33.96,overcast clouds
37,Gorgan,IR,36.8387,54.4348,42.76,93,100,0.0,mist
38,Chapleau,CA,47.8405,-83.4034,10.49,79,100,5.75,overcast clouds
39,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,26,0,11.99,clear sky
40,Mandalgovi,MN,45.7625,106.2708,5.77,61,0,6.11,clear sky
41,Souillac,MU,-20.5167,57.5167,79.36,94,40,10.36,scattered clouds
42,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,85,16,7.87,few clouds
43,Mayakonda,IN,14.2833,76.0833,65.66,56,11,7.18,few clouds
44,Mahebourg,MU,-20.4081,57.7,79.25,94,40,10.36,scattered clouds
45,Clyde River,CA,70.4692,-68.5914,-27.17,68,100,5.75,light snow
46,Qostanay,KZ,53.1667,63.5833,14.29,73,0,8.95,clear sky
47,Camacha,PT,33.0833,-16.3333,63.54,82,40,26.46,scattered clouds
48,Rikitea,PF,-23.1203,-134.9692,79.57,67,100,13.73,overcast clouds
49,Tomatlan,MX,19.9333,-105.25,68.9,83,87,2.51,overcast clouds
50,Atuona,PF,-9.8,-139.0333,79.09,75,30,21.05,scattered clouds
51,Spokane,US,47.6166,-117.3677,39.61,80,0,5.75,clear sky
52,Klyuchi,RU,52.2667,79.1667,-3.93,92,8,5.79,clear sky
53,Albany,US,42.6001,-73.9662,12.15,68,7,6.73,clear sky
54,Coquimbo,CL,-29.9533,-71.3436,62.33,88,75,6.91,broken clouds
55,Boa Vista,BR,2.8197,-60.6733,84.18,61,75,5.75,broken clouds
56,Narsaq,GL,60.9167,-46.05,1.62,70,100,5.01,overcast clouds
57,Nouakchott,MR,18.0858,-15.9785,66.13,50,0,11.14,clear sky
58,Porto Novo,BJ,6.4965,2.6036,82.22,90,0,3.0,clear sky
59,Kodiak,US,57.79,-152.4072,40.51,81,100,20.71,light rain
60,Gao,ML,16.6362,1.637,59.58,16,0,11.74,clear sky
61,Lazaro Cardenas,MX,17.9583,-102.2,74.8,75,0,6.76,clear sky
62,Vaini,TO,-21.2,-175.2,78.96,89,100,16.11,light rain
63,Saskylakh,RU,71.9167,114.0833,-30.93,100,97,2.93,overcast clouds
64,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,14.97,broken clouds
65,Mount Gambier,AU,-37.8333,140.7667,85.91,25,40,13.8,scattered clouds
66,Edd,ER,13.9297,41.6925,75.83,76,99,15.39,overcast clouds
67,Piney Green,US,34.716,-77.3202,39.13,55,0,8.05,clear sky
68,Upernavik,GL,72.7868,-56.1549,-1.17,97,100,3.38,overcast clouds
69,Hit,IQ,33.6416,42.8251,49.01,62,2,8.43,clear sky
70,Ridgecrest,US,35.6225,-117.6709,56.3,21,92,0.38,overcast clouds
71,Qaanaaq,GL,77.484,-69.3632,-0.11,96,100,3.83,overcast clouds
72,Bluff,NZ,-46.6,168.3333,58.8,59,14,11.05,few clouds
73,Avarua,CK,-21.2078,-159.775,82.45,78,20,16.11,few clouds
74,Tazovskiy,RU,67.4667,78.7,-19.8,100,74,5.68,broken clouds
75,Punta Arenas,CL,-53.15,-70.9167,55.51,62,40,9.22,scattered clouds
76,Sobolevo,RU,54.4299,31.8996,29.52,94,97,13.2,overcast clouds
77,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
78,Anadyr,RU,64.75,177.4833,-7.1,77,0,6.71,clear sky
79,Neuquen,AR,-38.9516,-68.0591,71.49,49,0,3.44,clear sky
80,Dunedin,NZ,-45.8742,170.5036,57.79,61,88,8.01,overcast clouds
81,Homer,US,59.6425,-151.5483,37.29,78,100,3.44,overcast clouds
82,Olafsvik,IS,64.8945,-23.7142,30.45,72,100,33.96,overcast clouds
83,Gorgan,IR,36.8387,54.4348,42.76,93,100,0.0,mist
84,Chapleau,CA,47.8405,-83.4034,10.49,79,100,5.75,overcast clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,26,0,11.99,clear sky
86,Mandalgovi,MN,45.7625,106.2708,5.77,61,0,6.11,clear sky
87,Souillac,MU,-20.5167,57.5167,79.36,94,40,10.36,scattered clouds
88,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,85,16,7.87,few clouds
89,Mayakonda,IN,14.2833,76.0833,65.66,56,11,7.18,few clouds
90,Mahebourg,MU,-20.4081,57.7,79.25,94,40,10.36,scattered clouds
91,Clyde River,CA,70.4692,-68.5914,-27.17,68,100,5.75,light snow
92,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds
93,Puerto Ayora,EC,-0.7393,-90.3518,75.54,92,23,5.01,few clouds
94,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,99,13.94,light rain
95,Metro,ID,-5.1131,105.3067,76.37,88,100,2.98,overcast clouds
96,Nizhnekamsk,RU,55.6366,51.8245,21.99,100,100,2.24,mist
97,Hermanus,ZA,-34.4187,19.2345,69.91,90,49,9.86,scattered clouds
98,Ondangwa,NA,-17.9167,15.95,69.8,83,100,1.14,overcast clouds
99,Ternate,ID,0.8,127.4,82.56,76,100,9.71,overcast clouds
100,Khatanga,RU,71.9667,102.5,-20.13,98,99,5.44,overcast clouds
101,Saint George,US,37.1041,-113.5841,52.39,22,0,1.99,clear sky
102,Georgetown,MY,5.4112,100.3354,82.33,84,20,3.0,few clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,76.62,87,54,26.49,broken clouds
104,Fereydun Kenar,IR,36.6864,52.5225,46.62,93,100,20.71,overcast clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,40,9.22,scattered clouds
106,Mackay,AU,-21.15,149.2,81.68,73,100,17.27,light rain
107,Busselton,AU,-33.65,115.3333,71.87,68,71,14.18,broken clouds
108,Thompson,CA,55.7435,-97.8558,-16.44,76,40,3.44,scattered clouds
109,Sitka,US,57.0531,-135.33,42.69,75,100,27.63,moderate rain
110,Batemans Bay,AU,-35.7167,150.1833,71.2,58,54,12.06,broken clouds
111,Amapa,BR,1.0,-52.0,71.47,99,100,1.39,overcast clouds
112,Kitimat,CA,54.0524,-128.6534,43.18,64,100,5.06,overcast clouds
113,Victoria,HK,22.2855,114.1577,63.25,78,99,1.99,overcast clouds
114,Mar Del Plata,AR,-38.0023,-57.5575,62.87,73,75,7.0,broken clouds
115,Tasiilaq,GL,65.6145,-37.6368,17.76,54,93,7.43,overcast clouds
116,Hobyo,SO,5.3505,48.5268,74.8,73,10,12.71,clear sky
117,Inuvik,CA,68.3499,-133.7218,-24.59,68,75,2.3,light snow
118,Alofi,NU,-19.0595,-169.9187,78.69,94,100,2.3,overcast clouds
119,Neokhorion,GR,41.1833,23.25,46.6,77,93,4.72,overcast clouds
120,Neiafu,TO,-18.65,-173.9833,78.67,79,100,20.8,light rain
121,Oktyabrskiy,RU,54.4815,53.471,18.55,97,98,2.28,overcast clouds
122,Karpushikha,RU,57.5017,59.8956,5.9,100,100,3.89,overcast clouds
123,Poronaysk,RU,49.2167,143.1167,17.78,76,100,13.13,overcast clouds
124,Cape Town,ZA,-33.9258,18.4232,70.12,70,0,1.01,clear sky
125,Bethel,US,41.3712,-73.414,21.78,69,0,8.05,clear sky
126,Coahuayana,MX,18.7333,-103.6833,69.8,86,4,1.54,clear sky
127,Fairbanks,US,64.8378,-147.7164,11.1,81,100,0.0,light snow
128,Luderitz,NA,-26.6481,15.1594,66.76,81,92,10.16,overcast clouds
129,Ostrovnoy,RU,68.0531,39.5131,15.01,84,100,28.54,overcast clouds
130,Cherskiy,RU,68.75,161.3,-28.17,98,25,1.14,scattered clouds
131,Barrow,US,71.2906,-156.7887,-20.18,69,0,11.5,clear sky
132,Waingapu,ID,-9.6567,120.2641,85.33,69,86,10.74,overcast clouds
133,Mataura,NZ,-46.1927,168.8643,58.48,40,22,4.52,few clouds
134,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.04,85,2,24.09,clear sky
135,Port Alfred,ZA,-33.5906,26.891,70.52,86,58,25.14,broken clouds
136,Lebu,CL,-37.6167,-73.65,58.46,82,0,17.25,clear sky
137,Dilla,ET,6.41,38.31,61.36,40,48,3.29,scattered clouds
138,Geraldton,AU,-28.7667,114.6,77.41,73,100,17.27,overcast clouds
139,Novaya Igirma,RU,57.1334,103.9112,19.09,91,100,9.6,overcast clouds
